iter	Passed	Remaining
0	1	1007
1	1	952
2	2	886
3	3	850
4	4	871
5	5	854
6	5	838
7	6	810
8	7	814
9	8	816
10	8	807
11	9	801
12	10	796
13	11	792
14	12	809
15	13	818
16	14	810
17	14	803
18	15	795
19	16	787
20	16	783
21	17	776
22	18	772
23	18	762
24	19	758
25	20	750
26	20	743
27	21	738
28	22	738
29	23	749
30	24	751
31	24	748
32	25	747
33	26	743
34	26	739
35	27	736
36	28	733
37	28	730
38	29	727
39	30	724
40	30	721
41	31	726
42	32	722
43	33	719
44	33	717
45	34	714
46	35	711
47	35	708
48	36	708
49	37	706
50	38	710
51	39	711
52	39	710
53	40	711
54	41	710
55	41	707
56	42	704
57	43	702
58	43	700
59	44	698
60	45	695
61	45	693
62	46	691
63	47	688
64	47	687
65	48	685
66	49	683
67	49	682
68	50	680
69	51	679
70	51	677
71	52	675
72	53	680
73	54	678
74	54	677
75	55	675
76	56	674
77	57	678
78	58	676
79	58	674
80	59	673
81	59	671
82	60	666
83	60	664
84	61	662
85	62	662
86	62	660
87	63	659
88	64	657
89	64	656
90	65	655
91	66	654
92	66	652
93	67	652
94	68	655
95	69	655
96	70	654
97	70	652
98	71	650
99	72	649
100	72	648
101	73	647
102	74	645
103	74	644
104	75	643
105	76	641
106	76	640
107	77	639
108	78	637
109	79	642
110	80	647
111	81	646
112	82	644
113	82	643
114	83	645
115	84	645
116	85	643
117	86	642
118	86	641
119	87	640
120	87	638
121	88	636
122	89	634
123	89	633
124	90	631
125	90	630
126	91	627
127	92	626
128	92	625
129	93	624
130	93	622
131	94	623
132	96	627
133	97	627
134	97	626
135	99	631
136	100	632
137	101	631
138	101	631
139	102	631
140	103	630
141	104	629
142	104	628
143	105	627
144	106	625
145	106	624
146	107	622
147	107	621
148	108	620
149	109	619
150	109	617
151	110	616
152	111	614
153	111	613
154	112	611
155	112	610
156	113	609
157	114	609
158	115	608
159	115	607
160	116	605
161	116	604
162	117	603
163	118	602
164	118	601
165	119	600
166	120	599
167	120	598
168	121	597
169	122	596
170	122	595
171	123	594
172	124	593
173	124	592
174	125	591
175	126	590
176	126	589
177	127	588
178	128	587
179	129	587
180	129	587
181	130	587
182	131	587
183	132	586
184	132	585
185	133	584
186	134	583
187	134	582
188	135	581
189	136	580
190	136	579
191	137	578
192	138	577
193	138	577
194	139	576
195	140	575
196	141	574
197	141	574
198	142	573
199	142	571
200	143	570
201	144	570
202	145	570
203	146	569
204	146	568
205	147	568
206	148	566
207	148	567
208	149	566
209	150	565
210	150	564
211	151	563
212	152	562
213	152	561
214	153	560
215	154	559
216	154	558
217	155	557
218	155	555
219	156	554
220	157	553
221	157	552
222	158	551
223	159	551
224	159	550
225	160	549
226	161	548
227	161	547
228	162	547
229	163	546
230	163	545
231	164	544
232	164	542
233	165	541
234	166	541
235	167	540
236	167	540
237	168	539
238	169	538
239	169	537
240	170	536
241	170	535
242	171	534
243	172	533
244	172	532
245	173	531
246	174	531
247	174	530
248	175	529
249	176	528
250	176	528
251	177	527
252	178	526
253	178	525
254	179	524
255	180	523
256	180	522
257	181	521
258	182	520
259	182	520
260	183	519
261	184	518
262	184	517
263	185	516
264	186	515
265	186	515
266	187	514
267	187	513
268	188	512
269	189	511
270	189	510
271	190	510
272	191	509
273	191	508
274	192	507
275	193	507
276	193	506
277	194	505
278	195	504
279	195	503
280	196	502
281	197	501
282	197	501
283	198	500
284	199	499
285	199	498
286	200	497
287	200	496
288	201	495
289	202	494
290	202	494
291	203	493
292	204	492
293	204	492
294	205	491
295	206	490
296	207	490
297	207	489
298	208	488
299	208	487
300	209	486
301	210	485
302	210	484
303	211	483
304	211	483
305	212	482
306	213	481
307	214	480
308	214	479
309	215	479
310	215	478
311	216	477
312	216	476
313	217	475
314	218	474
315	218	473
316	219	472
317	220	471
318	220	471
319	221	470
320	222	470
321	222	469
322	223	468
323	224	467
324	224	466
325	225	466
326	226	465
327	226	464
328	227	463
329	227	462
330	228	461
331	229	460
332	229	460
333	230	459
334	230	458
335	231	457
336	231	456
337	232	455
338	233	454
339	233	453
340	234	452
341	235	452
342	235	451
343	236	450
344	237	450
345	237	449
346	238	448
347	239	447
348	239	447
349	240	446
350	241	445
351	241	444
352	242	443
353	242	442
354	243	441
355	243	440
356	244	439
357	244	439
358	245	438
359	245	437
360	246	436
361	247	435
362	247	434
363	248	433
364	248	432
365	249	432
366	250	431
367	250	430
368	251	430
369	252	429
370	252	428
371	253	427
372	253	426
373	254	425
374	254	424
375	255	424
376	256	423
377	256	422
378	257	421
379	257	420
380	258	419
381	258	418
382	259	417
383	259	416
384	260	416
385	260	415
386	261	414
387	262	413
388	262	412
389	263	411
390	263	410
391	264	410
392	264	409
393	265	408
394	266	407
395	266	407
396	267	406
397	268	405
398	268	404
399	269	403
400	269	402
401	270	402
402	270	401
403	271	400
404	271	399
405	272	398
406	273	397
407	273	396
408	274	396
409	274	395
410	275	394
411	275	393
412	276	392
413	276	391
414	277	391
415	278	390
416	278	389
417	279	388
418	279	387
419	280	387
420	281	386
421	281	385
422	282	385
423	282	384
424	283	383
425	283	382
426	284	381
427	284	380
428	285	380
429	286	379
430	286	378
431	287	377
432	287	376
433	288	376
434	289	375
435	289	374
436	290	373
437	290	373
438	291	372
439	291	371
440	292	370
441	292	369
442	293	369
443	294	368
444	295	367
445	295	367
446	296	366
447	297	366
448	298	365
449	298	365
450	299	364
451	300	363
452	300	363
453	301	362
454	301	361
455	302	360
456	303	360
457	303	359
458	304	358
459	304	357
460	305	357
461	305	356
462	306	355
463	307	354
464	307	353
465	308	353
466	309	352
467	309	352
468	310	351
469	311	351
470	312	350
471	312	349
472	313	349
473	313	348
474	314	347
475	315	346
476	315	346
477	316	345
478	316	344
479	317	343
480	317	342
481	318	342
482	318	341
483	319	340
484	320	339
485	320	339
486	321	338
487	321	337
488	322	336
489	323	336
490	323	335
491	324	334
492	324	334
493	325	333
494	325	332
495	326	331
496	327	331
497	327	330
498	328	329
499	328	328
500	329	328
501	330	327
502	330	326
503	331	325
504	331	325
505	332	324
506	332	323
507	333	322
508	333	322
509	334	321
510	334	320
511	335	319
512	336	319
513	336	318
514	337	317
515	337	316
516	338	316
517	338	315
518	339	314
519	340	313
520	340	313
521	341	312
522	342	311
523	342	311
524	343	310
525	343	309
526	344	309
527	345	308
528	345	307
529	346	307
530	346	306
531	347	305
532	347	304
533	348	303
534	348	303
535	349	302
536	350	301
537	350	301
538	351	300
539	351	299
540	352	299
541	353	298
542	353	297
543	354	296
544	354	296
545	355	295
546	355	294
547	356	293
548	357	293
549	357	292
550	358	292
551	358	291
552	359	290
553	360	289
554	360	289
555	361	288
556	361	287
557	362	286
558	362	286
559	363	285
560	363	284
561	364	284
562	365	283
563	365	282
564	366	281
565	366	281
566	367	280
567	367	279
568	368	279
569	369	278
570	369	277
571	370	277
572	370	276
573	371	275
574	371	274
575	372	274
576	373	273
577	374	273
578	374	272
579	375	271
580	375	271
581	376	270
582	377	269
583	377	269
584	378	268
585	379	267
586	379	267
587	380	266
588	380	265
589	381	264
590	381	264
591	382	263
592	382	262
593	383	262
594	383	261
595	384	260
596	385	259
597	385	259
598	386	258
599	386	257
